FREQ,Frequency,REF_AREA,Reference area,VALUE,Value,UNIT_MEASURE,Unit of measure,BREAKS,COVERAGE,TITLE_TS,Series,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3
Q,Quarterly,GR,Greece,R,Real,771,"Year-on-year changes, in per cent",,,,Q:GR:R:771,-3.2357,-2.3116,-1.6096,-1.2482,0.5887,0.7259,1.2954,2.0712,4.7999,7.2521,8.3581,7.3772,6.3479,5.7525,5.8866,5.3366,6.2619,6.5607,6.86,5.2174,2.1388,-0.9155,-0.4896
Q,Quarterly,HK,Hong Kong SAR,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:HK:N:771,14.6862,21.1802,17.6471,13.6868,15.663,15.1385,15.7957,5.8232,1.2627,2.7616,-1.3319,3.4211,2.2409,-2.7888,-1.0833,-0.0788,2.2006,2.4863,3.7462,3.6521,-0.0519,-2.2563,-7.381
Q,Quarterly,HK,Hong Kong SAR,R,Real,771,"Year-on-year changes, in per cent",,,,Q:HK:R:771,14.0348,18.7839,15.618,11.8558,12.8977,12.7108,13.0111,3.1857,-0.9006,-0.1715,-4.4819,0.3048,0.369,-4.2359,0.6914,0.4869,0.9903,1.6791,1.4453,1.5886,-1.5736,-3.6789,-9.7995
Q,Quarterly,HR,Croatia,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:HR:N:771,-0.2964,4.2872,3.7511,7.6389,8.4241,4.4932,6.8507,4.6083,7.4954,10.3386,8.1032,10.0441,9.0987,8.2919,6.9192,6.4851,4.5985,6.4318,8.9369,9.0226,13.4873,13.5972,14.8515
Q,Quarterly,HR,Croatia,R,Real,771,"Year-on-year changes, in per cent",,,,Q:HR:R:771,-1.3645,3.1755,2.7084,6.2156,7.3816,2.5462,4.8831,3.3105,6.8929,9.5507,7.1519,9.0472,7.6436,8.6091,7.0239,6.8307,4.1918,4.2597,5.7288,4.1223,6.6125,2.5448,2.1117
Q,Quarterly,HU,Hungary,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:HU:N:771,11.7492,12.0658,12.2239,12.8335,13.3794,13.5609,14.8678,15.4166,19.0476,19.6491,16.633,12.8693,8.303,2.5806,4.8499,4.1885,9.6811,16.8667,16.685,22.7805,22.7551,24.2172,21.0005
Q,Quarterly,HU,Hungary,R,Real,771,"Year-on-year changes, in per cent",,,,Q:HU:R:771,8.9074,9.8042,9.5694,10.3061,11.194,10.5452,11.043,11.8146,15.3891,15.3456,13.1655,9.137,3.8219,0.0895,1.1032,1.3346,6.3219,11.1137,11.1282,14.6675,13.4253,12.2927,3.8857
Q,Quarterly,ID,Indonesia,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:ID:N:771,2.6264,3.1741,3.3173,3.5057,3.6914,3.0826,2.8862,2.6918,1.6311,1.2613,1.2474,1.2429,1.3077,1.3642,1.2616,1.1491,0.9584,0.9557,1.022,1.1846,1.5789,1.6518,1.9367
Q,Quarterly,ID,Indonesia,R,Real,771,"Year-on-year changes, in per cent",,,,Q:ID:R:771,-0.9831,-1.0715,-0.4711,0.0073,0.4005,-0.1662,-0.1975,-0.4666,-0.9682,-1.8255,-2.082,-1.6576,-1.6625,-0.8295,-0.0355,-0.4113,-0.4664,-0.5141,-0.5393,-0.566,-0.6965,-2.0617,-3.0959
Q,Quarterly,IE,Ireland,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:IE:N:771,9.4014,10.5681,11.7669,11.6642,12.3026,12.5404,9.0971,7.2522,4.4474,2.5224,1.7177,0.8375,1.0019,0.3426,-0.7983,0.7075,3.0068,5.6176,10.6469,13.8057,14.9564,14.2521,11.8322
Q,Quarterly,IE,Ireland,R,Real,771,"Year-on-year changes, in per cent",,,,Q:IE:R:771,8.8549,10.3127,11.6195,11.1088,11.967,12.3921,8.2403,6.4755,3.6217,1.2542,1.0235,-0.1811,-0.019,0.6703,0.0471,1.9028,3.2087,4.1214,7.5107,8.0691,8.6725,5.8357,2.9171
Q,Quarterly,IL,Israel,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:IL:N:771,5.1971,4.7076,3.716,2.0591,0.3458,-0.3333,-1.8236,-1.4746,0.8205,1.2073,1.9557,3.5691,3.4834,2.2729,2.7849,3.6843,4.6323,7.6838,9.6041,11.7476,15.2059,17.4912,19.6623
Q,Quarterly,IL,Israel,R,Real,771,"Year-on-year changes, in per cent",,,,Q:IL:R:771,4.6993,4.2541,3.9619,1.7558,0.1782,-1.0563,-3.0499,-2.5098,-0.443,0.0071,1.4795,3.119,3.346,3.396,3.5036,4.4085,4.7017,6.2658,7.242,9.0206,11.4573,12.7737,14.1808
Q,Quarterly,IN,India,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:IN:N:771,10.4531,8.7044,7.45,7.2024,6.7054,5.3264,5.6814,5.134,3.6286,3.447,3.2504,2.9735,3.9163,2.8243,1.1038,2.1918,2.6575,1.972,2.3811,3.1276,1.797,3.4532,4.5426
Q,Quarterly,IN,India,R,Real,771,"Year-on-year changes, in per cent",,,,Q:IN:R:771,6.6473,6.3622,4.3444,2.5323,2.0185,0.5111,1.7599,2.4657,1.136,0.3637,-0.215,-2.7036,-2.5799,-3.5159,-5.419,-3.9233,-2.1071,-3.4296,-2.5641,-1.797,-4.2761,-3.5657,-2.3336
Q,Quarterly,IS,Iceland,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:IS:N:771,17.8403,23.1502,20.3999,14.9972,13.18,6.906,5.0032,6.8962,4.3766,4.1674,3.3261,4.2851,5.5113,6.6873,7.7494,7.763,8.548,12.6244,14.6512,15.8509,19.0813,22.8806,22.6252
Q,Quarterly,IS,Iceland,R,Real,771,"Year-on-year changes, in per cent",,,,Q:IS:R:771,15.7181,21.0545,18.4377,12.9374,10.4687,4.506,2.2539,3.505,1.2308,0.7417,0.2397,1.7484,3.3626,4.0938,4.3726,4.065,4.1377,7.8599,9.9292,10.5231,12.1514,13.8956,11.8158
Q,Quarterly,IT,Italy,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:IT:N:771,-0.7014,-0.8955,-1.4896,-1.2,-0.5045,-0.4016,-0.8065,-0.5061,-0.9128,-0.1008,0.4065,0.2035,1.74,3.33,1.0121,1.5228,1.7103,0.3906,4.1082,4,4.55,5.1556,2.9836
Q,Quarterly,IT,Italy,R,Real,771,"Year-on-year changes, in per cent",,,,Q:IT:R:771,-2.014,-2.364,-2.5917,-2.0804,-1.2227,-1.3115,-2.2538,-1.8983,-1.8467,-0.9411,0.0496,-0.0892,1.4433,3.4639,1.5041,1.754,1.1204,-0.7984,1.8917,0.4397,-1.06,-1.6448,-4.987
Q,Quarterly,JP,Japan,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:JP:N:771,3.9063,2.0111,2.4496,1.8102,1.5338,1.9108,1.7857,2.5138,2.3104,1.9345,1.2489,0.9569,-0.4343,-0.7007,-0.1175,1.5699,3.344,5.469,8.1447,6.8241,9.0602,9.1999,8.1838
Q,Quarterly,JP,Japan,R,Real,771,"Year-on-year changes, in per cent",,,,Q:JP:R:771,3.5533,1.597,1.8258,1.2281,0.24,1.2259,0.662,1.625,2.0026,1.1865,0.9113,0.4545,-1.0956,-0.833,-0.1508,2.5223,3.8961,6.2476,8.3252,6.2902,8.1216,6.6587,5.1641
Q,Quarterly,KR,Korea,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:KR:N:771,1.2351,1.2335,1.4932,1.2222,1.6122,1.9582,2.1203,3.2342,2.6587,1.8779,1.1017,0.0835,1.086,2.4298,4.5264,7.1369,10.2893,13.0061,15.1163,15.6993,12.589,9.3739,5.2595
Q,Quarterly,KR,Korea,R,Real,771,"Year-on-year changes, in per cent",,,,Q:KR:R:771,-0.9442,-0.6753,-0.7092,-0.2158,0.5301,0.4589,0.5646,1.4221,2.1048,1.2178,1.0566,-0.2114,0.1183,2.4209,3.7773,6.6525,8.7425,10.2629,12.2699,11.7368,8.4602,3.7633,-0.5827
Q,Quarterly,LT,Lithuania,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:LT:N:771,10.2401,10.2108,8.5411,6.8921,7.8128,7.4048,6.5918,7.397,7.8644,6.5935,6.4415,6.5133,6.2384,6.9712,6.4143,9.4042,11.97,13.2763,18.8782,19.8223,19.1489,22.0558,19.2666
Q,Quarterly,LT,Lithuania,R,Real,771,"Year-on-year changes, in per cent",,,,Q:LT:R:771,7.2359,6.4842,4.0045,2.5631,4.2816,4.6599,4.1476,4.8273,5.5977,3.8339,3.8457,4.3888,3.6462,6.1475,5.3428,8.8306,11.0447,9.7261,12.7721,9.6738,4.4126,2.6413,-2.8045
Q,Quarterly,LU,Luxembourg,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:LU:N:771,6.9759,6.4129,4.9293,4.2039,6.3752,5.0802,7.569,9.163,7.0205,11.3656,11.2582,10.7345,14.16,13.2521,13.8393,16.691,17.1689,13.4499,13.2026,12.1174,10.2273,11.6775,11.1432
Q,Quarterly,LU,Luxembourg,R,Real,771,"Year-on-year changes, in per cent",,,,Q:LU:R:771,5.1492,4.6239,2.9926,2.5666,5.2327,3.7491,5.7754,6.9774,4.8802,9.1699,9.5268,9.261,12.488,12.6683,13.0046,16.0594,15.7178,10.929,10.4646,7.7065,4.5543,4.3134,4.0663
