FREQ,Frequency,L_MEASURE,Measure,L_REP_CTY,Reporting country,CBS_BANK_TYPE,CBS bank type,CBS_BASIS,CBS reporting basis,L_POSITION,Balance sheet position,L_INSTR,Type of instruments,REM_MATURITY,Remaining maturity,CURR_TYPE_BOOK,Currency type of booking location,L_CP_SECTOR,Counterparty sector,L_CP_COUNTRY,Counterparty country,COLLECTION,Collection Indicator,Series,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,AU,Australia,,,Q:S:5A:4R:U:C:A:A:TO1:A:AU,443257.125,452364.316,463868.443,470291.639,474634.715,457670.513,469901.038,467447.381,481505.997,490873.428,484750.911,504341.635,502973.467,544990.104,547877.350,596460.019,597832.139,603016.657,586291.279,597908.262,635615.300,578904.594,556755.785
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,BE,Belgium,,,Q:S:5A:4R:U:C:A:A:TO1:A:BE,478265.950,511444.290,512026.581,502596.424,548846.427,524066.466,527163.030,481601.435,515536.711,518914.323,505614.113,470796.994,528268.156,547818.930,574815.554,598346.691,611374.221,628267.983,606847.815,573560.160,603084.315,572719.593,529736.188
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,BR,Brazil,,,Q:S:5A:4R:U:C:A:A:TO1:A:BR,369096.799,347523.305,366932.142,345741.026,374219.369,333210.024,333198.213,348050.955,364147.520,372060.147,367579.510,369484.213,330439.702,320633.283,320506.530,346654.094,340697.390,357111.709,342506.168,354989.865,392294.129,363581.905,383015.944
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,CA,Canada,,,Q:S:5A:4R:U:C:A:A:TO1:A:CA,418497.662,430665.446,442104.628,452225.319,464401.266,457651.262,464884.520,459310.112,461173.323,485021.733,484168.625,497763.654,524172.831,532344.441,537022.092,568467.809,584521.624,607628.205,610923.806,616772.055,646337.272,639331.825,619071.007
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,CH,Switzerland,,,Q:S:5A:4R:U:C:A:A:TO1:A:CH,372356.866,383584.130,385002.409,388119.468,396855.674,378205.812,395299.000,373949.252,381614.413,394872.651,407256.839,375368.876,401545.588,386652.633,406445.380,429159.788,425882.279,421870.094,410527.838,449153.190,427659.412,394028.201,407045.250
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,CN,China,,,Q:S:5A:4R:U:C:A:A:TO1:A:CN,708761.330,772650.109,820265.919,840238.543,861775.031,825729.203,805062.443,789631.644,802586.675,815853.386,793973.330,819245.546,821515.529,823405.172,835694.304,902921.927,922016.508,934938.580,919618.369,930648.947,898784.325,866691.607,815041.216
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,DE,Germany,,,Q:S:5A:4R:U:C:A:A:TO1:A:DE,1386316.810,1423599.733,1468376.328,1489087.305,1559677.723,1542773.953,1506376.773,1401628.819,1430914.615,1464780.364,1405105.664,1356329.500,1492443.520,1585743.818,1665845.330,1744910.968,1778911.711,1790601.580,1743514.048,1693828.123,1795096.689,1720705.427,1658571.788
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,ES,Spain,,,Q:S:5A:4R:U:C:A:A:TO1:A:ES,371029.706,390233.699,405977.924,407709.312,415636.860,395397.530,398401.787,393291.112,409343.259,436180.602,437500.640,444008.464,452194.495,489584.344,497904.669,508663.493,501920.117,511970.434,499893.337,489074.649,476941.404,439665.226,417239.597
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,GB,United Kingdom,,,Q:S:5A:4R:U:C:A:A:TO1:A:GB,2246976.603,2300974.510,2408694.800,2328921.088,2463584.940,2336228.143,2327819.641,2161019.920,2314146.969,2271604.947,2249434.525,2270400.337,2368960.409,2375592.028,2395958.789,2536753.709,2577960.459,2564322.982,2484324.100,2499004.244,2474599.869,2296910.992,2218667.112
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4R,"Domestic banks(4B), excl. domestic positions",U,Guarantor basis,C,Total claims,A,All instruments,A,Total (all maturities),TO1,All currencies,A,All sectors,GR,Greece,,,Q:S:5A:4R:U:C:A:A:TO1:A:GR,31013.630,27436.809,26405.819,26477.872,30908.232,31817.078,32700.918,32166.500,29812.822,29050.163,28175.922,29429.820,28873.240,17485.009,15662.402,19198.354,18245.740,20389.229,18505.942,17649.959,18118.068,17631.523,16326.962
