FREQ,Frequency,L_MEASURE,Measure,L_REP_CTY,Reporting country,CBS_BANK_TYPE,CBS bank type,CBS_BASIS,CBS reporting basis,L_POSITION,Balance sheet position,L_INSTR,Type of instruments,REM_MATURITY,Remaining maturity,CURR_TYPE_BOOK,Currency type of booking location,L_CP_SECTOR,Counterparty sector,L_CP_COUNTRY,Counterparty country,COLLECTION,Collection Indicator,Series,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",MX,Mexico,,,Q:S:5A:4O:F:I:A:A:TO1:B:MX,7990.586,9773.481,6273.889,7888.082,6445.477,6678.159,7843.395,8642.082,9261.070,9078.089,8867.437,8243.199,8089.435,7803.498,9313.154,7774.893,9119.356,7888.795,7141.646,7273.729,8210.603,7963.942,6970.839
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",NL,Netherlands,,,Q:S:5A:4O:F:I:A:A:TO1:B:NL,121660.961,117716.904,122248.639,115317.649,137510.280,133290.074,140892.422,123570.481,139857.393,143438.266,145294.121,131201.198,134994.293,130605.026,131352.173,138527.193,159332.461,153361.355,163943.935,134381.119,146285.583,127734.690,133691.046
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",SG,Singapore,,,Q:S:5A:4O:F:I:A:A:TO1:B:SG,72499.626,75993.422,79268.313,83045.091,88700.530,88426.736,84795.443,87926.177,92908.664,95514.811,89781.929,92641.283,98207.215,91322.391,90201.446,94568.366,89560.796,81479.275,82266.926,84625.195,98557.694,105397.539,103349.272
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,B,"Banks, total",US,United States,,,Q:S:5A:4O:F:I:A:A:TO1:B:US,369600.679,392745.007,365594.862,343982.469,381917.157,391354.218,392288.940,368515.362,378115.754,372043.591,378793.099,375080.941,428591.354,382076.728,380475.329,402480.119,382956.279,393282.402,409134.554,386383.356,405917.872,384452.955,390428.569
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,F,Non-bank financial institutions,3P,All countries excluding residents,,,Q:S:5A:4O:F:I:A:A:TO1:F:3P,3301735.518,3445562.560,3534745.665,3690531.357,4092061.179,4096501.273,4184419.718,4278828.504,4565585.504,4730873.145,4790802.176,4652216.477,5099010.830,4955965.275,5044294.268,5185943.455,5258456.564,5315892.829,5436657.752,5336776.882,5452330.559,5198733.766,5161671.268
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,F,Non-bank financial institutions,AT,Austria,,,Q:S:5A:4O:F:I:A:A:TO1:F:AT,6489.664,7129.589,6731.658,6981.886,6763.770,6078.798,4486.578,4028.868,4104.102,3874.650,3952.967,3500.325,4053.986,3644.677,4322.379,4054.591,3689.486,4612.652,4752.552,3815.894,5288.057,4534.415,4258.372
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,F,Non-bank financial institutions,AU,Australia,,,Q:S:5A:4O:F:I:A:A:TO1:F:AU,31317.371,32792.031,36876.713,38046.742,37208.216,35441.801,35180.170,35533.043,37717.172,37513.154,37615.158,39279.331,38733.477,36651.825,36916.383,42106.852,43469.956,41384.808,42981.745,50578.389,57215.237,54044.738,52808.868
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,F,Non-bank financial institutions,BE,Belgium,,,Q:S:5A:4O:F:I:A:A:TO1:F:BE,15745.458,11141.984,10431.512,11609.342,12135.792,13104.283,11653.819,15584.573,13460.118,13908.121,14619.130,12869.714,17188.611,15432.114,15439.198,16709.245,17884.765,16201.621,16671.075,16000.453,16922.567,19071.738,15172.068
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,F,Non-bank financial institutions,BR,Brazil,,,Q:S:5A:4O:F:I:A:A:TO1:F:BR,6404.866,5130.973,6335.680,6549.415,24423.384,6278.069,5958.057,6384.326,7468.894,10557.054,10165.567,10516.138,7283.157,6463.042,6161.010,7303.878,6060.868,6615.459,5762.787,6289.946,7359.137,8567.353,6749.866
Q,Quarterly,S,Amounts outstanding / Stocks,5A,All reporting countries,4O,"All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)",F,Immediate counterparty basis,I,International claims,A,All instruments,A,Total (all maturities),TO1,All currencies,F,Non-bank financial institutions,CA,Canada,,,Q:S:5A:4O:F:I:A:A:TO1:F:CA,52475.525,54729.296,55399.543,67841.358,73544.504,58394.073,59808.007,60254.635,58291.025,58113.362,59954.945,59209.081,66359.321,65948.200,65203.634,79688.695,89143.792,106378.756,107234.174,112196.782,99435.044,98670.321,107552.383
