Measure,CBS_BANK_TYPE,Remaining maturity,Currency type of booking location,Counterparty sector,Counterparty country,Series,Quaterlly_per_year,Amount_stocks_units
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,United States,Q:S:5A:4R:U:C:V:A:TO1:A:US,2017-Q1,470559.508
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,All countries excluding residents,Q:S:5A:4R:U:D:A:A:TO1:A:3P,2017-Q1,12444592.185
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Austria,Q:S:5A:4R:U:D:A:A:TO1:A:AT,2017-Q1,108196.296
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Australia,Q:S:5A:4R:U:D:A:A:TO1:A:AU,2017-Q1,211038.503
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Belgium,Q:S:5A:4R:U:D:A:A:TO1:A:BE,2017-Q1,200319.683
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Brazil,Q:S:5A:4R:U:D:A:A:TO1:A:BR,2017-Q1,153458.743
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Canada,Q:S:5A:4R:U:D:A:A:TO1:A:CA,2017-Q1,264592.461
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Switzerland,Q:S:5A:4R:U:D:A:A:TO1:A:CH,2017-Q1,249276.38
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,China,Q:S:5A:4R:U:D:A:A:TO1:A:CN,2017-Q1,425142.08
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Germany,Q:S:5A:4R:U:D:A:A:TO1:A:DE,2017-Q1,757249.383
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Spain,Q:S:5A:4R:U:D:A:A:TO1:A:ES,2017-Q1,280668.665
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,United Kingdom,Q:S:5A:4R:U:D:A:A:TO1:A:GB,2017-Q1,834510.964
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Greece,Q:S:5A:4R:U:D:A:A:TO1:A:GR,2017-Q1,28345.14
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,India,Q:S:5A:4R:U:D:A:A:TO1:A:IN,2017-Q1,146987.42
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Italy,Q:S:5A:4R:U:D:A:A:TO1:A:IT,2017-Q1,288421.816
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Mexico,Q:S:5A:4R:U:D:A:A:TO1:A:MX,2017-Q1,79063.247
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Netherlands,Q:S:5A:4R:U:D:A:A:TO1:A:NL,2017-Q1,396191.023
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Singapore,Q:S:5A:4R:U:D:A:A:TO1:A:SG,2017-Q1,149083.476
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,United States,Q:S:5A:4R:U:D:A:A:TO1:A:US,2017-Q1,2507612.842
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,All countries excluding residents,Q:S:5A:4R:U:W:A:A:TO1:A:3P,2017-Q1,3429847.347
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Austria,Q:S:5A:4R:U:W:A:A:TO1:A:AT,2017-Q1,24420.869
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Australia,Q:S:5A:4R:U:W:A:A:TO1:A:AU,2017-Q1,57879.689
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Belgium,Q:S:5A:4R:U:W:A:A:TO1:A:BE,2017-Q1,35797.929
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Brazil,Q:S:5A:4R:U:W:A:A:TO1:A:BR,2017-Q1,52768.996
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Canada,Q:S:5A:4R:U:W:A:A:TO1:A:CA,2017-Q1,47288.825
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Switzerland,Q:S:5A:4R:U:W:A:A:TO1:A:CH,2017-Q1,105236.05
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,China,Q:S:5A:4R:U:W:A:A:TO1:A:CN,2017-Q1,83501.463
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Germany,Q:S:5A:4R:U:W:A:A:TO1:A:DE,2017-Q1,216487.131
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Spain,Q:S:5A:4R:U:W:A:A:TO1:A:ES,2017-Q1,87842.705
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,United Kingdom,Q:S:5A:4R:U:W:A:A:TO1:A:GB,2017-Q1,367397.923
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Greece,Q:S:5A:4R:U:W:A:A:TO1:A:GR,2017-Q1,5835.716
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,India,Q:S:5A:4R:U:W:A:A:TO1:A:IN,2017-Q1,21378.651
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Italy,Q:S:5A:4R:U:W:A:A:TO1:A:IT,2017-Q1,166354.302
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Mexico,Q:S:5A:4R:U:W:A:A:TO1:A:MX,2017-Q1,38623.316
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Netherlands,Q:S:5A:4R:U:W:A:A:TO1:A:NL,2017-Q1,110700.959
Amounts outstanding / Stocks,4R,Total (all maturities),All currencies,All sectors,Singapore,Q:S:5A:4R:U:W:A:A:TO1:A:SG,2017-Q1,45850.169
