Measure,CBS_BANK_TYPE,Remaining maturity,Currency type of booking location,Counterparty sector,Counterparty country,Series,Quaterlly_per_year,Amount_stocks_units
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank private sector,Canada,Q:S:5A:4O:F:I:A:A:TO1:R:CA,2017-Q1,136222.498
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank private sector,Switzerland,Q:S:5A:4O:F:I:A:A:TO1:R:CH,2017-Q1,145066.123
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank private sector,China,Q:S:5A:4O:F:I:A:A:TO1:R:CN,2017-Q1,314102.276
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank private sector,Germany,Q:S:5A:4O:F:I:A:A:TO1:R:DE,2017-Q1,239243.243
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank private sector,Spain,Q:S:5A:4O:F:I:A:A:TO1:R:ES,2017-Q1,98268.59
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank private sector,United Kingdom,Q:S:5A:4O:F:I:A:A:TO1:R:GB,2017-Q1,745405.324
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank private sector,Greece,Q:S:5A:4O:F:I:A:A:TO1:R:GR,2017-Q1,13746.465
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank private sector,India,Q:S:5A:4O:F:I:A:A:TO1:R:IN,2017-Q1,98659.106
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank private sector,Italy,Q:S:5A:4O:F:I:A:A:TO1:R:IT,2017-Q1,66649.707
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank private sector,Mexico,Q:S:5A:4O:F:I:A:A:TO1:R:MX,2017-Q1,83290.069
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank private sector,Netherlands,Q:S:5A:4O:F:I:A:A:TO1:R:NL,2017-Q1,323130.171
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank private sector,Singapore,Q:S:5A:4O:F:I:A:A:TO1:R:SG,2017-Q1,180709.507
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,Non-bank private sector,United States,Q:S:5A:4O:F:I:A:A:TO1:R:US,2017-Q1,1452625.863
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,All countries excluding residents,Q:S:5A:4O:F:I:A:A:TO1:A:3P,2017-Q2,16483451.47
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Austria,Q:S:5A:4O:F:I:A:A:TO1:A:AT,2017-Q2,150827.085
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Australia,Q:S:5A:4O:F:I:A:A:TO1:A:AU,2017-Q2,277621.414
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Belgium,Q:S:5A:4O:F:I:A:A:TO1:A:BE,2017-Q2,229492.655
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Brazil,Q:S:5A:4O:F:I:A:A:TO1:A:BR,2017-Q2,127594.813
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Canada,Q:S:5A:4O:F:I:A:A:TO1:A:CA,2017-Q2,289222.884
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Switzerland,Q:S:5A:4O:F:I:A:A:TO1:A:CH,2017-Q2,284771.738
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,China,Q:S:5A:4O:F:I:A:A:TO1:A:CN,2017-Q2,946491.565
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Germany,Q:S:5A:4O:F:I:A:A:TO1:A:DE,2017-Q2,739366.283
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Spain,Q:S:5A:4O:F:I:A:A:TO1:A:ES,2017-Q2,299070.497
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,United Kingdom,Q:S:5A:4O:F:I:A:A:TO1:A:GB,2017-Q2,1350478.691
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Greece,Q:S:5A:4O:F:I:A:A:TO1:A:GR,2017-Q2,48408.746
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,India,Q:S:5A:4O:F:I:A:A:TO1:A:IN,2017-Q2,158853.435
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Italy,Q:S:5A:4O:F:I:A:A:TO1:A:IT,2017-Q2,301622.637
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Mexico,Q:S:5A:4O:F:I:A:A:TO1:A:MX,2017-Q2,132828.623
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Netherlands,Q:S:5A:4O:F:I:A:A:TO1:A:NL,2017-Q2,525862.519
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,Singapore,Q:S:5A:4O:F:I:A:A:TO1:A:SG,2017-Q2,302613.546
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,All sectors,United States,Q:S:5A:4O:F:I:A:A:TO1:A:US,2017-Q2,2572389.354
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",All countries excluding residents,Q:S:5A:4O:F:I:A:A:TO1:B:3P,2017-Q2,4229876.351
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Austria,Q:S:5A:4O:F:I:A:A:TO1:B:AT,2017-Q2,41076.579
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Australia,Q:S:5A:4O:F:I:A:A:TO1:B:AU,2017-Q2,118056.136
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Belgium,Q:S:5A:4O:F:I:A:A:TO1:B:BE,2017-Q2,61551.739
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Brazil,Q:S:5A:4O:F:I:A:A:TO1:B:BR,2017-Q2,21999.871
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Canada,Q:S:5A:4O:F:I:A:A:TO1:B:CA,2017-Q2,103539.134
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Switzerland,Q:S:5A:4O:F:I:A:A:TO1:B:CH,2017-Q2,66362.845
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",China,Q:S:5A:4O:F:I:A:A:TO1:B:CN,2017-Q2,486060.618
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Germany,Q:S:5A:4O:F:I:A:A:TO1:B:DE,2017-Q2,232055.457
Amounts outstanding / Stocks,4O,Total (all maturities),All currencies,"Banks, total",Spain,Q:S:5A:4O:F:I:A:A:TO1:B:ES,2017-Q2,85738.042
