Frequency,CURR_DENOM,Currency of denomination,BORROWERS_CTY,Borrowers' country,Borrowers' sector,Lending sector,Type of instruments,UNIT_MEASURE,Unit of measure,Series,Quarterly_per_year,Global_Rate
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2019-Q3,156551.191
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2019-Q3,47465.841
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2019-Q4,12110381.067
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2019-Q4,4794926.322
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2019-Q4,175599.599
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2019-Q4,483851.173
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2019-Q4,128176.577
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2019-Q4,154002.058
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2019-Q4,46381.195
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2020-Q1,12568753.629
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2020-Q1,4956090.449
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2020-Q1,185019.286
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2020-Q1,506160.662
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2020-Q1,136406.113
Quarterly,USD,US dollar,RU,Russia,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:RU:N:A:I:B:USD,2020-Q1,155635.283
Quarterly,USD,US dollar,ZA,South Africa,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:ZA:N:A:I:B:USD,2020-Q1,44569.552
Quarterly,USD,US dollar,3P,All countries excluding residents,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:3P:N:A:I:B:USD,2020-Q2,12579508.038
Quarterly,USD,US dollar,4T,Emerging market and developing economies,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:4T:N:A:I:B:USD,2020-Q2,5038453.065
Quarterly,USD,US dollar,BR,Brazil,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:BR:N:A:I:B:USD,2020-Q2,184173.674
Quarterly,USD,US dollar,CN,China,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:CN:N:A:I:B:USD,2020-Q2,530078.713
Quarterly,USD,US dollar,IN,India,"Non-banks, total",All sectors,Credit (loans & debt securities),USD,US dollar,Q:USD:IN:N:A:I:B:USD,2020-Q2,131905.654
