FREQ,Frequency,REF_AREA,Reference area,Series,Anually-year,Consumer_Price
A,Annual,PT,Portugal,A:PT:771,2019,0.338178
A,Annual,RO,Romania,A:RO:771,2019,3.830137
A,Annual,RS,Serbia,A:RS:771,2019,1.867559779
A,Annual,RU,Russia,A:RU:771,2019,4.462491
A,Annual,SA,Saudi Arabia,A:SA:771,2019,-2.093333
A,Annual,SE,Sweden,A:SE:771,2019,1.784151
A,Annual,SG,Singapore,A:SG:771,2019,0.565261
A,Annual,SI,Slovenia,A:SI:771,2019,1.626417
A,Annual,SK,Slovak Republic,A:SK:771,2019,2.677458
A,Annual,TH,Thailand,A:TH:771,2019,0.705797
A,Annual,TR,Turkey,A:TR:771,2019,15.17682157
A,Annual,US,United States,A:US:771,2019,1.81221
A,Annual,XM,Euro area,A:XM:771,2019,1.195745
A,Annual,ZA,South Africa,A:ZA:771,2019,4.12065
A,Annual,AE,United Arab Emirates,A:AE:771,2020,-2.079113
A,Annual,AR,Argentina,A:AR:771,2020,40.48238577
A,Annual,AT,Austria,A:AT:771,2020,1.4456
A,Annual,AU,Australia,A:AU:771,2020,0.846906
A,Annual,BE,Belgium,A:BE:771,2020,0.740792
A,Annual,BG,Bulgaria,A:BG:771,2020,1.67239
A,Annual,BR,Brazil,A:BR:771,2020,3.211590927
A,Annual,CA,Canada,A:CA:771,2020,0.717
A,Annual,CH,Switzerland,A:CH:771,2020,-0.725891
A,Annual,CL,Chile,A:CL:771,2020,3.045491
A,Annual,CN,China,A:CN:771,2020,2.557878
A,Annual,CY,Cyprus,A:CY:771,2020,-0.638423
A,Annual,CZ,Czechia,A:CZ:771,2020,3.161293
A,Annual,DE,Germany,A:DE:771,2020,0.50669
A,Annual,DK,Denmark,A:DK:771,2020,0.420712
A,Annual,DZ,Algeria,A:DZ:771,2020,2.415131
A,Annual,EE,Estonia,A:EE:771,2020,-0.448399
A,Annual,ES,Spain,A:ES:771,2020,-0.322753
A,Annual,FI,Finland,A:FI:771,2020,0.279248
A,Annual,FR,France,A:FR:771,2020,0.476499
A,Annual,GB,United Kingdom,A:GB:771,2020,0.881262
A,Annual,GR,Greece,A:GR:771,2020,-1.247572
A,Annual,HK,Hong Kong SAR,A:HK:771,2020,0.250962
A,Annual,HR,Croatia,A:HR:771,2020,0.154811
A,Annual,HU,Hungary,A:HU:771,2020,3.326241
A,Annual,ID,Indonesia,A:ID:771,2020,2.018666
A,Annual,IE,Ireland,A:IE:771,2020,-0.334585
A,Annual,IL,Israel,A:IL:771,2020,-0.586781
A,Annual,IN,India,A:IN:771,2020,6.623437
A,Annual,IS,Iceland,A:IS:771,2020,2.843829
A,Annual,IT,Italy,A:IT:771,2020,-0.137708
A,Annual,JP,Japan,A:JP:771,2020,-0.024996
A,Annual,KR,Korea,A:KR:771,2020,0.537288
A,Annual,LT,Lithuania,A:LT:771,2020,1.199894
A,Annual,LU,Luxembourg,A:LU:771,2020,0.819957
A,Annual,LV,Latvia,A:LV:771,2020,0.219428
A,Annual,MK,North Macedonia,A:MK:771,2020,1.190301
A,Annual,MT,Malta,A:MT:771,2020,0.638013
A,Annual,MX,Mexico,A:MX:771,2020,3.396834
A,Annual,MY,Malaysia,A:MY:771,2020,-1.138702
A,Annual,NL,Netherlands,A:NL:771,2020,1.272475
A,Annual,NO,Norway,A:NO:771,2020,1.286585
A,Annual,NZ,New Zealand,A:NZ:771,2020,1.714562
A,Annual,PE,Peru,A:PE:771,2020,1.827143718
A,Annual,PH,Philippines,A:PH:771,2020,2.393162
A,Annual,PL,Poland,A:PL:771,2020,3.368057
A,Annual,PT,Portugal,A:PT:771,2020,-0.012438
A,Annual,RO,Romania,A:RO:771,2020,2.632508
A,Annual,RS,Serbia,A:RS:771,2020,1.551692928
A,Annual,RU,Russia,A:RU:771,2020,3.384014
A,Annual,SA,Saudi Arabia,A:SA:771,2020,3.445458
A,Annual,SE,Sweden,A:SE:771,2020,0.497367
A,Annual,SG,Singapore,A:SG:771,2020,-0.181917
A,Annual,SI,Slovenia,A:SI:771,2020,-0.054857
A,Annual,SK,Slovak Republic,A:SK:771,2020,1.93276
A,Annual,TH,Thailand,A:TH:771,2020,-0.846688
A,Annual,TR,Turkey,A:TR:771,2020,12.27895745
A,Annual,US,United States,A:US:771,2020,1.233584
A,Annual,XM,Euro area,A:XM:771,2020,0.252067
A,Annual,ZA,South Africa,A:ZA:771,2020,3.274892
A,Annual,AE,United Arab Emirates,A:AE:771,2021,0.179978
A,Annual,AR,Argentina,A:AR:771,2021,47.1012562
A,Annual,AT,Austria,A:AT:771,2021,2.766667
A,Annual,AU,Australia,A:AU:771,2021,2.86391
A,Annual,BE,Belgium,A:BE:771,2021,2.440249
A,Annual,BG,Bulgaria,A:BG:771,2021,3.297457
A,Annual,BR,Brazil,A:BR:771,2021,8.301573685
A,Annual,CA,Canada,A:CA:771,2021,3.395193
A,Annual,CH,Switzerland,A:CH:771,2021,0.581831
A,Annual,CL,Chile,A:CL:771,2021,4.524568
A,Annual,CN,China,A:CN:771,2021,0.848892
A,Annual,CY,Cyprus,A:CY:771,2021,2.446089
A,Annual,CZ,Czechia,A:CZ:771,2021,3.839836
A,Annual,DE,Germany,A:DE:771,2021,3.14297
A,Annual,DK,Denmark,A:DK:771,2021,1.853045
A,Annual,DZ,Algeria,A:DZ:771,2021,7.226061
A,Annual,EE,Estonia,A:EE:771,2021,4.650279
A,Annual,ES,Spain,A:ES:771,2021,3.093135
A,Annual,FI,Finland,A:FI:771,2021,2.21328
A,Annual,FR,France,A:FR:771,2021,1.642331
A,Annual,GB,United Kingdom,A:GB:771,2021,2.582375
A,Annual,GR,Greece,A:GR:771,2021,1.223333
A,Annual,HK,Hong Kong SAR,A:HK:771,2021,1.568758
A,Annual,HR,Croatia,A:HR:771,2021,2.554507
A,Annual,HU,Hungary,A:HU:771,2021,5.109535
A,Annual,ID,Indonesia,A:ID:771,2021,1.56008
A,Annual,IE,Ireland,A:IE:771,2021,2.358143
A,Annual,IL,Israel,A:IL:771,2021,1.492035
A,Annual,IN,India,A:IN:771,2021,5.136838
A,Annual,IS,Iceland,A:IS:771,2021,4.444368
A,Annual,IT,Italy,A:IT:771,2021,1.873783
A,Annual,JP,Japan,A:JP:771,2021,-0.233353
A,Annual,KR,Korea,A:KR:771,2021,2.498333
A,Annual,LT,Lithuania,A:LT:771,2021,4.683544
A,Annual,LU,Luxembourg,A:LU:771,2021,2.52692
A,Annual,LV,Latvia,A:LV:771,2021,3.275789
A,Annual,MK,North Macedonia,A:MK:771,2021,3.223933
A,Annual,MT,Malta,A:MT:771,2021,1.497004
A,Annual,MX,Mexico,A:MX:771,2021,5.689208
A,Annual,MY,Malaysia,A:MY:771,2021,2.477102
A,Annual,NL,Netherlands,A:NL:771,2021,2.675709
A,Annual,NO,Norway,A:NO:771,2021,3.483881
A,Annual,NZ,New Zealand,A:NZ:771,2021,3.941121
A,Annual,PE,Peru,A:PE:771,2021,3.979014595
A,Annual,PH,Philippines,A:PH:771,2021,3.92718
A,Annual,PL,Poland,A:PL:771,2021,5.151844
A,Annual,PT,Portugal,A:PT:771,2021,1.265657
A,Annual,RO,Romania,A:RO:771,2021,5.051439
A,Annual,RS,Serbia,A:RS:771,2021,4.077800301
A,Annual,RU,Russia,A:RU:771,2021,6.691906
A,Annual,SA,Saudi Arabia,A:SA:771,2021,3.06329
A,Annual,SE,Sweden,A:SE:771,2021,2.163197
A,Annual,SG,Singapore,A:SG:771,2021,2.30486
A,Annual,SI,Slovenia,A:SI:771,2021,1.917065
A,Annual,SK,Slovak Republic,A:SK:771,2021,3.155433
A,Annual,TH,Thailand,A:TH:771,2021,1.231289
A,Annual,TR,Turkey,A:TR:771,2021,19.59649269
A,Annual,US,United States,A:US:771,2021,4.697859
A,Annual,XM,Euro area,A:XM:771,2021,2.588101
A,Annual,ZA,South Africa,A:ZA:771,2021,4.555611
A,Annual,AE,United Arab Emirates,A:AE:771,2022,
A,Annual,AR,Argentina,A:AR:771,2022,73.1252849
A,Annual,AT,Austria,A:AT:771,2022,8.54687
A,Annual,AU,Australia,A:AU:771,2022,
A,Annual,BE,Belgium,A:BE:771,2022,9.597512
A,Annual,BG,Bulgaria,A:BG:771,2022,15.333124
A,Annual,BR,Brazil,A:BR:771,2022,9.279936383
A,Annual,CA,Canada,A:CA:771,2022,6.802801
A,Annual,CH,Switzerland,A:CH:771,2022,2.835028
A,Annual,CL,Chile,A:CL:771,2022,11.643867
A,Annual,CN,China,A:CN:771,2022,
